round,accuracy,auc,f1-score,loss,precision,recall
1,0.8883495145631068,0.9542973875183075,0.8841892594530839,0.7739195621129379,0.9060194174757281,0.8883495145631068
2,0.9611650485436893,0.987729658655134,0.9553797335350734,0.4477006738046998,0.9633560473577358,0.9611650485436893
3,0.9077669902912622,0.9706983148878329,0.9027632235595033,0.5424380452887526,0.9295654184003699,0.9077669902912622
4,0.9368932038834952,0.9804264027478313,0.9321063601271813,0.46416457069730294,0.940295483326298,0.9368932038834952
5,0.9514563106796117,0.9669765080479366,0.9460116762893913,0.46013343392066586,0.956099620092866,0.9514563106796117
6,0.9466019417475728,0.9570980419194706,0.9423190944279966,0.4571809294154343,0.9429719813786062,0.9466019417475728
7,0.9660194174757282,0.9727229896872753,0.9601513500234528,0.46730188490117636,0.9677306698330657,0.9660194174757282
8,0.9611650485436893,0.9605939427367999,0.9553797335350734,0.4536989606121211,0.9633560473577358,0.9611650485436893
9,0.970873786407767,0.9696735696735697,0.9649560795191864,0.44375405525698247,0.9721401435204726,0.970873786407767
10,0.970873786407767,0.971483206304635,0.9649560795191864,0.43989615475089805,0.9721401435204726,0.970873786407767
11,0.970873786407767,0.9686267320195893,0.9649560795191864,0.4430326414339751,0.9721401435204726,0.970873786407767
12,0.970873786407767,0.9786625215196646,0.9649560795191864,0.447753757527731,0.9721401435204726,0.970873786407767
13,0.970873786407767,0.9821827625399053,0.9649560795191864,0.44192257957551084,0.9721401435204726,0.970873786407767
