round,accuracy,auc,f1-score,loss,precision,recall
1,0.7621359223300971,0.8428087445150162,0.7186434366272111,0.987015444098167,0.7104715672676838,0.7621359223300971
2,0.7961165048543689,0.8637066370945908,0.7896433135929756,0.8942654115482441,0.8366660237038942,0.7961165048543689
3,0.8058252427184466,0.8677361601190514,0.8052651232262882,0.8620241776253413,0.8525584447914545,0.8058252427184466
4,0.8543689320388349,0.8784828937656658,0.8483460715875396,0.8094220416059772,0.8644215844416715,0.8543689320388349
5,0.8203883495145631,0.8758760505675346,0.821260445925943,0.8165067862538458,0.8444521497919556,0.8203883495145631
6,0.7961165048543689,0.8771251115804555,0.8068770226537216,0.8157765113034294,0.8446601941747572,0.7961165048543689
7,0.7961165048543689,0.8799234380010971,0.8080956918025289,0.8010769046626045,0.8493465272591487,0.7961165048543689
8,0.8106796116504854,0.8828640510380025,0.8200788238672619,0.7899665190178213,0.8528705637657966,0.8106796116504854
9,0.8009708737864077,0.8819464529852631,0.8131116874421195,0.7887373688151536,0.8501708400634513,0.8009708737864077
10,0.8009708737864077,0.876527268915689,0.811528569300938,0.8124253240603845,0.8506257755683384,0.8009708737864077
11,0.8106796116504854,0.8766020250104103,0.8193025038323966,0.8068785922041217,0.8530950305143855,0.8106796116504854
12,0.7815533980582524,0.8787784794910587,0.7985831249585519,0.8032943837850997,0.8454514807620073,0.7815533980582524
13,0.8203883495145631,0.8758069096857246,0.8257850856637506,0.8054392042669277,0.852482083798597,0.8203883495145631
14,0.7864077669902912,0.8766846538213093,0.8005447243950055,0.8065013752400296,0.8428637959942864,0.7864077669902912
15,0.7815533980582524,0.8758400521443039,0.7970796090565812,0.8104538367789926,0.8416015019732305,0.7815533980582524
16,0.7718446601941747,0.8812169216065385,0.7894288903941196,0.805539427451717,0.839448577312655,0.7718446601941747
17,0.8058252427184466,0.8801979966295007,0.8152059972586755,0.7944765507596211,0.847979138582368,0.8058252427184466
18,0.7427184466019418,0.8804874306598967,0.7646166476299258,0.8288113579009343,0.8294110628905492,0.7427184466019418
19,0.7330097087378641,0.8787107895988635,0.7634193780614077,0.8331710933481605,0.8458637359544915,0.7330097087378641
20,0.8446601941747572,0.8753735167135595,0.8442161654828905,0.7956300615106972,0.8581804186427632,0.8446601941747572
21,0.7475728155339806,0.8773532117489437,0.7730121286334879,0.8070305609008641,0.8440730105481069,0.7475728155339806
22,0.7378640776699029,0.8789732889156238,0.7661958392274923,0.813559303584608,0.8343671341244157,0.7378640776699029
