round,accuracy,auc,f1-score,loss,precision,recall
1,0.8009708737864077,0.8429493838074833,0.7679379621035947,0.969454383387149,0.7610295134566979,0.8009708737864077
2,0.8349514563106796,0.877824275708893,0.8308146897425074,0.8238410284218279,0.8508629989212513,0.8349514563106796
3,0.8252427184466019,0.8874160954504879,0.8236360075616683,0.7931038691002188,0.8464402080376466,0.8252427184466019
4,0.8300970873786407,0.8901246219527136,0.8308207241074175,0.7873636258458628,0.8620176925778943,0.8300970873786407
5,0.8155339805825242,0.8900435903309536,0.8235752111965705,0.7591056511240099,0.8542846548004315,0.8155339805825242
6,0.8398058252427184,0.891171746235757,0.8412638163078485,0.7608132941051594,0.8621958804158734,0.8398058252427184
7,0.8252427184466019,0.8959110634407011,0.8313311116434399,0.7369985163790508,0.8570394107380489,0.8252427184466019
8,0.8300970873786407,0.8930276409146619,0.8335911432935366,0.743742567242928,0.8536142992916627,0.8300970873786407
9,0.7815533980582524,0.8935898873818323,0.796661049936919,0.7561895297568979,0.8368426727783228,0.7815533980582524
10,0.8203883495145631,0.8931730346610257,0.8290849535852391,0.7472646132256221,0.8587768723994452,0.8203883495145631
11,0.8203883495145631,0.8931769765688001,0.8257299167218568,0.758994428856859,0.8504198167398144,0.8203883495145631
12,0.7961165048543689,0.8882100954946511,0.8081112016930591,0.7665681757973236,0.8461165048543691,0.7961165048543689
13,0.8592233009708737,0.8844751105284152,0.8596767489079764,0.7487359029575459,0.8748583195394679,0.8592233009708737
14,0.8300970873786407,0.883694864460758,0.8308257395688369,0.762607816353585,0.8506922219224993,0.8300970873786407
15,0.8446601941747572,0.8911671401843844,0.8437499369950199,0.7464920675870285,0.8612662138451276,0.8446601941747572
16,0.8786407766990292,0.8919380061447586,0.8771506356665955,0.7156542412285666,0.8816360762607237,0.8786407766990292
17,0.8155339805825242,0.8847645510178204,0.8239051321157114,0.751157495581988,0.8486452923910589,0.8155339805825242
18,0.8689320388349514,0.8887409854894903,0.8675352025192253,0.735630187016089,0.8747684238185043,0.8689320388349514
19,0.8252427184466019,0.8925584131084295,0.8370347809323525,0.735776676714999,0.8626020101998956,0.8252427184466019
20,0.8640776699029126,0.8859570695862592,0.8669386461324904,0.7203497296398126,0.8735221143473569,0.8640776699029126
21,0.8640776699029126,0.8821443050201485,0.8619108426935578,0.7335505132536286,0.8675220152997474,0.8640776699029126
22,0.883495145631068,0.8884080463833075,0.8786643267631993,0.7109443007163632,0.8787426369583945,0.883495145631068
